Rk,Player,Salary,Conference,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
67,Oshae Brissett,300000,E,F,22,IND,2,0,2.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,1,1,0,0.5,0,0,0,1
68,Malcolm Brogdon,20700000,E,PG,28,IND,45,45,35.1,7.9,17.4,0.455,2.6,6.6,0.396,5.3,10.8,0.491,0.53,2.5,2.9,0.868,0.8,3.9,4.7,5.8,1,0.2,2.1,2,21
70,Dillon Brooks,11400000,W,SF,25,MEM,47,47,29.3,6.2,15,0.414,1.9,5.7,0.342,4.3,9.3,0.458,0.479,2.2,2.6,0.823,0.8,2.1,2.9,2.4,1.2,0.4,1.9,3.4,16.5
71,Bruce Brown,1663861,E,PG,24,BRK,49,31,21.9,3.4,6.3,0.547,0.2,0.9,0.256,3.2,5.4,0.595,0.565,1.3,1.7,0.747,1.6,3.1,4.7,1.5,0.8,0.3,0.8,2.2,8.3
72,Jaylen Brown,22991071,E,SG,24,BOS,49,49,34,9.2,18.8,0.486,2.7,6.9,0.399,6.4,12,0.537,0.559,3.3,4.4,0.752,1.2,4.5,5.7,3.5,1.2,0.6,2.8,2.9,24.3
73,Moses Brown,495102,W,C,21,OKC,24,13,20.4,3.3,5.8,0.557,0,0,,3.3,5.8,0.557,0.557,2,3.4,0.598,3.2,5.2,8.3,0.2,0.5,1.1,0.8,1.9,8.5
74,Sterling Brown,1678854,W,SG,25,HOU,51,14,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
75,Troy Brown Jr.,3372840,E,SF,21,CHI,7,0,17,1.7,4,0.429,0.6,1.9,0.308,1.1,2.1,0.533,0.5,0.6,0.7,0.8,0.7,1.9,2.6,0.7,0.6,0.3,0.3,1.6,4.6
75,Troy Brown Jr.,3372840,E,SF,21,WAS,21,0,13.7,1.6,4.2,0.371,0.7,2.2,0.304,0.9,2,0.442,0.449,0.5,0.7,0.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3
76,Jalen Brunson,1663861,W,PG,24,DAL,47,10,25.4,4.8,9,0.533,1.2,3,0.399,3.6,5.9,0.602,0.601,2,2.6,0.793,0.4,3.1,3.5,3.3,0.5,0,1.3,1.7,12.8
77,Thomas Bryant,8333333,E,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
78,Reggie Bullock,4200000,E,SF,29,NYK,46,45,27.7,3.4,8,0.429,2.2,5.5,0.402,1.2,2.5,0.487,0.567,0.7,0.7,0.882,0.2,3.1,3.3,1.3,0.7,0.2,0.7,2.2,9.7
79,Trey Burke,3174603,W,PG,28,DAL,47,0,14.5,2.4,5.5,0.447,1,2.7,0.373,1.4,2.8,0.519,0.539,0.7,0.9,0.85,0.1,0.8,0.9,1.4,0.5,0.1,0.5,1,6.6
80,Alec Burks,6000000,E,SG,29,NYK,41,5,26.1,4.2,10.2,0.416,2,5,0.412,2.2,5.2,0.421,0.517,2.2,2.5,0.865,0.5,4,4.5,2.2,0.7,0.3,1,2.1,12.7
81,Jimmy Butler,34379100,E,SF,31,MIA,37,37,33.8,7.2,14.4,0.496,0.4,1.9,0.222,6.7,12.5,0.539,0.511,6.8,8,0.854,2,5.4,7.4,7.2,2,0.4,2.2,1.4,21.6
82,Bruno Caboclo,361256,W,PF,25,HOU,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8
84,Kentavious Caldwell-Pope,12073020,W,SG,27,LAL,49,49,26.9,3,7.1,0.427,1.7,3.9,0.42,1.4,3.2,0.436,0.543,1.2,1.5,0.847,0.4,2.2,2.7,1.6,0.8,0.3,1.1,1.7,9
85,Facundo Campazzo,3623000,W,PG,29,DEN,46,3,18.3,1.5,4,0.366,1,2.8,0.354,0.5,1.2,0.393,0.489,0.9,1,0.833,0.3,1.2,1.5,2.8,1,0.2,1,1.9,4.8
86,Vlatko ?an?ar,898310,W,PF,23,DEN,27,0,5.7,0.6,1.3,0.429,0.2,0.7,0.278,0.4,0.6,0.588,0.5,0.2,0.2,0.833,0.2,0.9,1.1,0.3,0.3,0.1,0.4,0.5,1.5
88,Clint Capela,16000000,E,C,26,ATL,46,46,29.9,6.6,11,0.598,0,0,,6.6,11,0.598,0.598,2,3.4,0.589,4.7,9.4,14.1,0.8,0.7,2.3,1.2,2.3,15.2
89,Vernon Carey Jr.,1350000,E,C,19,CHO,10,0,3.3,0.3,0.8,0.375,0,0.4,0,0.3,0.4,0.75,0.375,0.2,0.3,0.667,0.2,0.8,1,0.1,0,0.2,0.3,0.2,0.8
90,Jevon Carter,3549383,W,PG,25,PHO,40,0,10.2,1.2,3,0.383,0.7,2.1,0.329,0.5,1,0.5,0.496,0.1,0.1,1,0.2,1.2,1.4,1.2,0.4,0.2,0.2,1,3
